,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Antisemitismus,0,0,0,1,2,0,0,0,0,0,0,0,2,0,2,2,4,7,5,0,2,0,1,7,1,0
Behindertenfeindlichkeit,1,1,7,1,12,3,4,2,10,8,13,17,10,24,13,29,44,40,27,31,17,25,14,19,4,0
Frauenfeindlichkeit,6,13,92,64,34,175,43,150,56,139,52,115,178,168,161,287,387,473,620,626,618,679,596,363,194,0
Gewalt,9,14,31,16,17,13,19,30,33,47,34,81,35,101,69,117,147,247,183,200,182,173,273,164,103,0
Homophobie,2,5,61,38,9,17,17,50,52,36,20,49,34,73,62,125,148,216,241,201,187,310,282,133,64,0
Liebe,34,19,30,12,8,17,38,42,87,40,46,58,51,98,114,245,237,273,346,409,452,463,479,288,222,0
Rassismus,5,14,32,25,2,38,17,12,10,25,14,30,21,31,82,67,86,127,194,125,193,187,219,148,72,0
Trauer,0,1,3,2,1,1,1,4,1,0,3,5,4,13,10,12,17,40,10,31,22,43,28,21,14,0
